time_seconds,position_cm
9.9667,12.1019
10.0,12.026
10.0333,12.0581
10.0667,12.1139
10.1,12.0566
10.1333,12.0487
10.1667,11.9084
10.2,12.0094
10.2333,11.9183
10.2667,11.8683
10.3,11.9278
10.3333,11.7816
10.3667,11.9813
10.4,11.9945
10.4333,11.9283
10.4667,11.864
10.5,11.8827
10.5333,11.9635
10.5667,11.8003
10.6,12.0272
10.6333,12.0829
10.6667,12.0191
10.7,12.0152
10.7333,12.0757
10.7667,12.091
10.8,12.1476
10.8333,12.0544
10.8667,11.9869
10.9,11.9917
10.9333,12.0279
10.9667,12.1221
11.0,11.9569
11.0333,11.8849
11.0667,11.8888
11.1,11.7833
11.1333,11.9738
11.1667,11.8388
11.2,11.8532
11.2333,11.8013
11.2667,11.8802
11.3,12.0272
11.3333,11.89
11.3667,11.868
11.4,12.0344
11.4333,12.0032
11.4667,12.0728
11.5,12.1023
11.5333,12.0439
11.5667,11.9389
11.6,12.028
11.6333,12.0705
11.6667,11.9744
11.7,11.8953
11.7333,12.0874
11.7667,11.9552
11.8,11.9461
11.8333,11.9723
11.8667,12.0481
11.9,11.984
11.9333,11.9362
11.9667,12.0202
