time_seconds,position_cm
9.3333,13.3091
9.3667,12.8199
9.4,12.3243
9.4333,11.7906
9.4667,11.1527
9.5,10.8816
9.5333,10.5196
9.5667,10.2149
9.6,10.0624
9.6333,10.164
9.6667,10.423
9.7,10.5644
9.7333,10.8991
9.7667,11.3447
9.8,11.8789
9.8333,12.2793
9.8667,12.8337
9.9,13.2453
9.9333,13.6898
9.9667,13.8034
10.0,13.8678
10.0333,13.6537
10.0667,13.5653
10.1,13.1126
10.1333,12.8356
10.1667,12.3955
10.2,11.8299
10.2333,11.5931
10.2667,11.0666
10.3,10.5329
10.3333,10.493
10.3667,10.296
10.4,10.3323
10.4333,10.4953
10.4667,10.7269
10.5,10.8635
10.5333,11.333
10.5667,11.9246
10.6,12.4098
10.6333,12.874
10.6667,13.225
10.7,13.1925
10.7333,13.5924
10.7667,13.4375
10.8,13.6625
10.8333,13.3845
10.8667,13.0054
10.9,12.9121
10.9333,12.4059
10.9667,11.784
11.0,11.5487
11.0333,11.0955
11.0667,10.8574
11.1,10.5933
11.1333,10.625
11.1667,10.3959
11.2,10.6391
11.2333,10.9634
11.2667,11.0414
11.3,11.4762
11.3333,11.8634
11.3667,12.1873
11.4,12.6679
11.4333,12.9485
11.4667,13.1177
11.5,13.4966
11.5333,13.4804
11.5667,13.3605
11.6,13.1795
11.6333,12.9355
11.6667,12.7936
11.7,12.3323
11.7333,12.0079
11.7667,11.5894
11.8,11.3192
11.8333,10.9831
11.8667,10.8527
11.9,10.6667
11.9333,10.7354
11.9667,10.8081
